01.Licence Number,02.Current Licence Status,03.Licensee Name,04.Orig BA Code,05.Surface Location,06.Detection Date,07.Report Date,08.Report Status,09.Failure Type,10.Failure Top Depth (mKB),11.Failure Depth Bottom (mKB),12.Reported Resolution,13.Reported Resolution Date,14.Steam Scheme Type,15.Connection Type,16.Final Drill Date
 0005406,Abandoned,Imperial Oil Resources Limited (0007),0007,05-20-047-27W4,"Aug 10, 1996","Jan 19, 1998",Closed,Hole,799,,Packer,"Aug 16, 1996",,,"Dec 08, 1952"
 0138278,Abandoned,Spoke Resources Ltd. (A8FY),0R61,07-12-086-12W5,"Aug 14, 1994","Aug 14, 1994",Closed,Hole,730,,Casing Patch,"Sep 03, 1994",,,"Feb 20, 1989"
 0023705,Abandoned,Loyal Energy (canada) Operating Ltd. (A7X9),0JT1,15-27-032-04W5,"Aug 15, 2003","Oct 21, 2003",Closed,,,,Entry Error-Ignore,"Jun 24, 2004",,,"Mar 02, 1963"
 0008191,Abandoned,Canadian Natural Resources Limited (0HE9),0BM8,07-27-067-22W5,"Aug 19, 1999","Dec 01, 1999",Closed,Hole,2001,,Casing Patch,"Aug 22, 1999",,,"Sep 15, 1954"
 0168276,Abandoned,NuVista Energy Ltd. (A0A7),0MD6,01-19-028-03W4,"Aug 24, 1995","Aug 24, 1995",Closed,Hole,926,,Bridge Plug,"Aug 24, 1995",,,"Jul 11, 1994"
 0062205B,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,09-07-066-05W4,"Aug 27, 1986","Aug 27, 1986",Closed,Parted,,,Cement Squeeze/Plug,"Sep 09, 1986",,,"Dec 04, 1977"
 0007558,Abandoned,Strathcona Resources Ltd. (A8FG),0002,08-15-036-20W4,"Aug 31, 1974","Aug 31, 1974",Closed,Hole,,,Monitor As Required,,,,"Feb 02, 1954"
 0034450,Abandoned,Enhance Energy Inc. (A216),0T65,04-08-041-24W4,"Aug 31, 1974","Aug 31, 1974",Closed,Hole,,,Packer,"Oct 01, 1975",,,"Sep 19, 1968"
 0013390,Abandoned,Bonterra Energy Corp. (0XZ4),0XZ4,08-12-047-07W5,"Dec 01, 1987","Dec 01, 1987",Closed,Hole,,,Cement Squeeze/Plug,"Sep 01, 1988",,,"Jul 04, 1957"
 0055993B,Abandoned,ExxonMobil Canada Ltd. (0057),0057,01-18-051-02W4,"Dec 02, 1994","Dec 02, 1994",Closed,Hole,168,,Casing Patch,"Jun 02, 1995",,,"Dec 28, 1951"
 0022582,Abandoned,Glencoe Resources Ltd. (0NM3),0NM3,06-06-001-19W4,"Dec 02, 1994","Dec 02, 1994",Closed,Hole,675,,Bridge Plug,"Dec 03, 1994",,,"Jun 22, 1962"
 0123046,Abandoned,Canlin Energy Corporation (A7M1),0M66,14-12-048-25W4,"Dec 03, 1994","Dec 03, 1994",Closed,Hole,1233,,Cement Squeeze/Plug,"Dec 08, 1994",,,"Jan 05, 2003"
 0100433,Abandoned,Surge Energy Inc. (0YK4),0R46,08-32-091-12W5,"Dec 07, 1988","Dec 07, 1988",Closed,Hole,1150,,Casing Patch,"Dec 09, 1988",,,"Mar 14, 1983"
 0062424,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,12-08-066-05W4,"Dec 08, 1987","Dec 08, 1987",Closed,Hole,,,Cement Squeeze/Plug,,Cyclic Steam,,"Feb 17, 1977"
 0008616,Abandoned,I3 Energy Canada Ltd. (A8HW),0FW6,09-14-042-02W5,"Dec 08, 1994","Dec 08, 1994",Closed,Hole,1360,,Cement Squeeze/Plug,"Dec 13, 1994",,,"Aug 18, 2000"
 0066815,Abandoned,Advantage Energy Ltd. (0TD9),0LB6,10-09-028-04W4,"Dec 10, 1994","Dec 10, 1994",Closed,Hole,123,,Casing Patch,"Dec 09, 1994",,,"Dec 07, 1977"
 0239722,Abandoned,Cenovus Energy Inc. (A5D4),0TT5,02-21-070-04W4,"Dec 12, 2001","Feb 12, 2003",Closed,Collapse,130,,Cement Squeeze/Plug,"Feb 02, 2002",SAGD,,"Oct 20, 2000"
 0131048,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,06-10-066-05W4,"Dec 14, 1996","Aug 12, 1997",Closed,Parted,,,Bridge Plug,"Dec 14, 1996",Cyclic Steam,,"May 01, 1988"
 0032596,Abandoned,Paramount Resources Ltd. (0AW4),0L31,04-30-116-05W6,"Dec 16, 1994","Dec 16, 1994",Closed,Hole,804,,Well/Zone Abandoned,"Dec 17, 1984",,,"Sep 04, 1967"
 0055993F,Abandoned,ExxonMobil Canada Ltd. (0057),0057,03-18-051-02W4,"Dec 17, 1994","Dec 17, 1994",Closed,Hole,231,,Cement Squeeze/Plug,"Jun 02, 1995",,,"Nov 13, 1975"
 0013322,Abandoned,Canadian Oil & Gas International Inc. (A6L2),0TM9,11-07-039-26W4,"Dec 18, 1971","Dec 18, 1971",Closed,Hole,,,Packer,"Nov 30, 2002",,,"Jan 05, 1996"
 0014260,Abandoned,Canadian Oil & Gas International Inc. (A6L2),0TM9,11-17-039-26W4,"Dec 18, 1971","Dec 18, 1971",Closed,Hole,699,,Packer,"Dec 18, 1971",,,"Dec 28, 1957"
 0004339,Abandoned,Enhance Energy Inc. (A216),0T65,11-16-040-24W4,"Feb 01, 1971","Feb 01, 1971",Closed,Hole,625,,Packer,"Mar 10, 1977",,,"Jun 03, 1952"
 0014927,Abandoned,Canadian Oil & Gas International Inc. (A6L2),0TM9,01-06-039-26W4,"Feb 01, 1975","Feb 01, 1975",Closed,Hole,,,Packer,"Nov 30, 2002",,,"Apr 03, 1958"
 0048609B,Abandoned,Imperial Oil Resources Limited (0007),0007,14-05-065-03W4,"Feb 01, 1981","Feb 01, 1981",Closed,Hole,138,,Well/Zone Abandoned,"May 28, 1981",,,"Jun 29, 1974"
 0001381,Abandoned,Canadian Natural Resources Limited (0HE9),0031,03-27-038-20W4,"Feb 01, 1987","Feb 01, 1987",Closed,Hole,,,Packer,"Feb 18, 1987",,,"Jun 18, 1950"
 0008215,Abandoned,Strathcona Resources Ltd. (A8FG),0002,16-03-037-20W4,"Feb 01, 1988","Feb 01, 1988",Closed,Hole,,,Cement Squeeze/Plug,"Feb 24, 1988",,,"Aug 02, 1954"
 0045530,Abandoned,Imperial Oil Resources Limited (0007),0007,02-27-051-27W4,"Feb 01, 2008","Feb 28, 2008",Closed,,,,Entry Error-Ignore,"Mar 04, 2009",,,"Jun 19, 1973"
 0101068,Abandoned,Imperial Oil Resources Limited (0007),0007,13-07-065-03W4,"Feb 03, 1994","May 05, 1995",Closed,Hole,62,,Cement Squeeze/Plug,"Feb 04, 1994",,,"May 07, 1983"
 0072232,Abandoned,Cenovus Energy Inc. (A5D4),0026,16-02-025-16W4,"Feb 07, 2000","Feb 07, 2000",Closed,Hole,230,,Cement Squeeze/Plug,"Feb 23, 2000",,,"Oct 06, 1978"
 0101065,Abandoned,Imperial Oil Resources Limited (0007),0007,12-07-065-03W4,"Feb 12, 1994","Feb 12, 1994",Closed,Hole,220,,Cement Squeeze/Plug,"Mar 08, 1994",,,"Apr 29, 1983"
 0150390,Abandoned,Cougar Oil And Gas Canada Inc. (A5RW),0MT5,10-34-089-04W5,"Feb 13, 1996","Feb 13, 1996",Closed,Hole,945,,Cement Squeeze/Plug,"Feb 15, 1996",,,"Nov 16, 1991"
 0087478,Abandoned,Harvest Operations Corp. (0Z0H),0R46,16-20-041-01W4,"Feb 24, 1994","Feb 24, 1994",Closed,Hole,280,,Entry Error-Ignore,"Oct 05, 2012",Cyclic Steam,,"Feb 20, 1994"
 0029071,Abandoned,Canadian Natural Resources Limited (0HE9),0K29,11-08-079-22W5,"Jan 01, 1965","Jan 01, 1965",Closed,Hole,,,Packer,"Nov 30, 2002",,,"Oct 24, 1965"
B0002574,Abandoned,Canadian Natural Resources Limited (0HE9),0031,08-19-050-26W4,"Jan 01, 1969","Jan 01, 1969",Closed,Parted,0,,Replaced Failed Casing,"Nov 30, 2002",,,"Feb 22, 1949"
 0015984,Abandoned,Canadian Oil & Gas International Inc. (A6L2),0TM9,10-24-038-27W4,"Jan 01, 1969","Jan 01, 1969",Closed,Hole,190,,Packer,"Nov 30, 2002",,,"Nov 02, 1958"
 0008656,Abandoned,Strathcona Resources Ltd. (A8FG),0002,16-15-035-20W4,"Jan 01, 1973","Jan 01, 1973",Closed,Hole,184,,Packer,"Jan 01, 1977",,,"Dec 17, 1954"
 0021827,Abandoned,Bearspaw Petroleum Ltd. (0NL1),0JD4,05-17-036-20W4,"Jan 01, 1978","Jan 01, 1978",Closed,Hole,,,Packer,"Apr 14, 1978",,,"Jan 15, 1962"
 0036354,Abandoned,TAQA North Ltd. (A2TG),0WZ9,10-14-029-24W4,"Jan 01, 1980","Jan 01, 1980",Closed,Hole,,,Packer,"Oct 10, 1980",,,"Jul 07, 1969"
 0004588,Abandoned,Imperial Oil Resources Limited (0007),0007,12-15-048-27W4,"Jan 01, 1982","Jan 01, 1982",Closed,Hole,,,Replaced Failed Casing,"Nov 30, 2002",,,"Jun 07, 1952"
 0032685,Abandoned,ExxonMobil Canada Ltd. (0057),0057,10-23-029-20W4,"Jan 01, 1982","Jan 01, 1982",Closed,Hole,,,Well/Zone Abandoned,"Jul 30, 1982",,,"Sep 20, 1967"
 0007094,Abandoned,Imperial Oil Resources Limited (0007),0007,07-18-047-27W4,"Jan 01, 1982","Jan 01, 1982",Closed,Hole,665,,Cement Squeeze/Plug,"Nov 30, 2002",,,"Nov 04, 1953"
 0010925,Abandoned,Pine Cliff Energy Ltd. (A1GR),0G30,09-08-034-05W5,"Jan 01, 1982","Jan 01, 1982",Closed,Hole,2265,,Well/Zone Abandoned,"Aug 02, 1984",,,"Apr 13, 1956"
 0001114,Abandoned,Artisan Energy Corporation (A6F2),0LD3,13-02-056-24W4,"Jan 01, 1983","Jan 01, 1983",Closed,Hole,,,Replaced Failed Casing,"Nov 30, 2002",,,"Feb 06, 1950"
B0000368,Abandoned,Canadian Natural Resources Limited (0HE9),0006,07-04-021-03W5,"Jan 01, 1983","Jan 01, 1983",Closed,Hole,,,Packer,"Nov 30, 2002",,,"Jul 29, 1943"
 0024063,Abandoned,Long Run Exploration Ltd. (A517),0BL1,04-21-071-18W5,"Jan 01, 1983","Jan 01, 1983",Closed,Hole,,,Cement Squeeze/Plug,"Nov 30, 2002",,,"Jun 18, 1963"
 0013931,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,07-10-044-22W4,"Jan 01, 1983","Jan 01, 1983",Closed,Hole,,,Cemented Liner,"Nov 30, 2002",,,"Nov 02, 1957"
 0060305,Abandoned,Hemisphere Energy Corporation (A5E4),0FW6,08-14-021-06W4,"Jan 01, 1983","Jan 01, 1983",Closed,Collapse,926,,Packer,"Nov 30, 2002",,,"Oct 03, 1976"
 0095414,Abandoned,Lexin Resources Ltd. (0CW8),0MR7,14-13-018-25W4,"Jan 01, 1983","Jan 01, 1983",Closed,Hole,1096,,Not Converted,"Nov 30, 2002",,,"Mar 01, 2005"
 0036575,Abandoned,Paramount Resources Ltd. (0AW4),0L31,07-24-114-06W6,"Jan 01, 1984","Jan 01, 1984",Closed,Hole,,,Cemented Liner,"Aug 02, 1984",,,"Aug 30, 1969"
 0033305,Abandoned,Cenovus Energy Inc. (A5D4),0057,14-34-110-06W6,"Jan 01, 1984","Jan 01, 1984",Closed,Hole,,,Casing Patch,"Nov 30, 2002",,,"Jan 31, 1968"
 0031752,Abandoned,Cenovus Energy Inc. (A5D4),0007,11-29-110-05W6,"Jan 01, 1984","Jan 01, 1984",Closed,Hole,,,Monitor As Required,,,,"Mar 24, 1967"
 0041313,Abandoned,West Lake Energy Corp. (A7H7),0JD4,10-19-042-01W4,"Jan 01, 1984","Jan 01, 1984",Closed,Hole,,,Cemented Liner,"Nov 30, 2002",,,"Nov 22, 1971"
 0006502,Abandoned,Imperial Oil Resources Limited (0007),0007,02-25-046-28W4,"Jan 01, 1984","Jan 01, 1984",Closed,Hole,,,Cement Squeeze/Plug,"Nov 30, 2002",,,"Sep 28, 1953"
 0006189,Abandoned,Imperial Oil Resources Limited (0007),0007,13-20-047-27W4,"Jan 01, 1985","Jan 01, 1985",Closed,Hole,,,Cement Squeeze/Plug,"Nov 30, 2002",,,"Apr 24, 1953"
 0062205D,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,16-07-066-05W4,"Jan 01, 1985","Jan 01, 1985",Closed,Hole,,,Not Converted,"Nov 30, 2002",,,"Dec 09, 1977"
 0087642,Abandoned,Tourmaline Oil Corp. (A573),0060,03-04-035-06W5,"Jan 01, 1985","Jan 01, 1985",Closed,Hole,,,Cement Squeeze/Plug,"Nov 30, 2002",,,"Jan 26, 1981"
 0034704,Abandoned,Cabot Energy Inc. (A5HR),0T00,08-09-110-04W6,"Jan 01, 1985","Jan 01, 1985",Closed,Hole,,,Cement Squeeze/Plug,"Feb 07, 1991",,,"Sep 15, 1968"
 0005816,Abandoned,Imperial Oil Resources Limited (0007),0007,12-20-047-27W4,"Jan 01, 1985","Jan 01, 1985",Closed,Hole,1127,,Cement Squeeze/Plug,"Nov 30, 2002",,,"Jan 27, 1953"
 0010961,Abandoned,Baccalieu Energy Inc. (A73C),0HE9,06-28-048-09W5,"Jan 01, 1986","Jan 01, 1986",Closed,Hole,,,Cement Squeeze/Plug,,,,"Mar 08, 1956"
 0030808,Abandoned,Pembina NGL Corporation (A68Y),0XJ9,13-14-035-10W4,"Jan 01, 1987","Apr 23, 2004",Closed,,,,Entry Error-Ignore,"Apr 23, 2004",,,"Sep 04, 1966"
 0044775,Abandoned,Razor Energy Corp. (A7L1),0BP8,02-22-067-09W5,"Jan 01, 1987","Jan 01, 1987",Closed,Burst,,,Entry Error-Ignore,"Mar 30, 2010",,,"Feb 03, 1973"
 0004290,Abandoned,Strathcona Resources Ltd. (A8FG),0002,09-23-036-20W4,"Jan 01, 1987","Jan 01, 1987",Closed,Hole,,,Packer,"Nov 30, 2002",,,"Apr 12, 1952"
 0019448,Abandoned,Razor Energy Corp. (A7L1),0FW6,04-12-066-11W5,"Jan 01, 1987","Jan 01, 1987",Closed,Hole,,,Casing Patch,"Nov 30, 2002",,,"Apr 15, 1961"
 0032364,Abandoned,Cenovus Energy Inc. (A5D4),0057,04-13-110-06W6,"Jan 01, 1987","Jan 01, 1987",Closed,Hole,,,Cemented Liner,"Aug 07, 1967",,,"Aug 05, 1967"
 0008278,Abandoned,Strathcona Resources Ltd. (A8FG),0002,04-23-035-20W4,"Jan 01, 1987","Jan 01, 1987",Closed,Hole,,,Packer,"Nov 30, 2002",,,"Aug 14, 1954"
 0013810,Abandoned,Bonterra Energy Corp. (0XZ4),0NP5,08-36-046-08W5,"Jan 01, 1987","Jan 01, 1987",Closed,Hole,,,Bridge Plug,"Aug 15, 1987",,,"Aug 25, 1957"
 0016097,Abandoned,Canadian Natural Resources Limited (0HE9),0006,10-18-067-10W5,"Jan 01, 1987","Jan 01, 1987",Closed,Hole,,,Casing Patch,"Nov 30, 2002",,,"Dec 09, 1958"
 0031580,Abandoned,Imperial Oil Resources Limited (0007),0007,05-15-110-07W6,"Jan 01, 1987","Jan 01, 1987",Closed,Hole,,,Cement Squeeze/Plug,"Oct 24, 1980",,,"Feb 03, 1967"
 0019457,Abandoned,Razor Energy Corp. (A7L1),0FW6,12-01-066-11W5,"Jan 01, 1987","Jan 01, 1987",Closed,Hole,,,Packer,"Nov 30, 2002",,,"Feb 04, 1961"
 0016413,Abandoned,Acquisition Oil Corp. (A7N3),0346,10-17-068-10W5,"Jan 01, 1987","Jan 01, 1987",Closed,Hole,,,Casing Patch,"Nov 30, 2002",,,"Feb 05, 1959"
 0033515,Abandoned,Paramount Resources Ltd. (0AW4),0L31,12-11-118-04W6,"Jan 01, 1987","Jan 01, 1987",Closed,Hole,,,Cement Squeeze/Plug,,,,"Feb 09, 1968"
 0032964,Abandoned,Serinus Energy PLC (0WZ7),0WG5,07-17-070-23W5,"Jan 01, 1987","Jan 01, 1987",Closed,Hole,,,Packer,"Nov 30, 2002",,,"Jan 02, 1968"
 0023482,Abandoned,Razor Energy Corp. (A7L1),0BP8,02-17-068-09W5,"Jan 01, 1987","Jan 01, 1987",Closed,Hole,,,Packer,"Nov 30, 2002",,,"Jan 19, 1963"
 0003551,Abandoned,Imperial Oil Resources Limited (0007),0007,04-22-048-27W4,"Jan 01, 1987","Jan 01, 1987",Closed,Hole,,,Entry Error-Ignore,,,,"Jan 20, 1952"
 0035251,Abandoned,Paramount Resources Ltd. (0AW4),0L31,01-20-115-05W6,"Jan 01, 1987","Jan 01, 1987",Closed,Hole,,,Cement Squeeze/Plug,"Nov 30, 2002",,,"Jan 25, 1969"
 0038020,Abandoned,Cenovus Energy Inc. (A5D4),0057,05-10-109-06W6,"Jan 01, 1987","Jan 01, 1987",Closed,Hole,,,Entry Error-Ignore,"Jul 16, 2012",,,"Jul 16, 1998"
 0018963,Abandoned,Enhance Energy Inc. (A216),0AZ9,05-02-049-27W4,"Jan 01, 1987","Jan 01, 1987",Closed,Hole,,,Bridge Plug,"Nov 30, 2002",,,"Jun 18, 1960"
 0034162,Abandoned,Paramount Resources Ltd. (0AW4),0L31,16-01-115-06W6,"Jan 01, 1987","Jan 01, 1987",Closed,Hole,,,Cement Squeeze/Plug,,,,"Jun 27, 1968"
 0005926,Abandoned,Imperial Oil Resources Limited (0007),0007,13-36-046-28W4,"Jan 01, 1987","Jan 01, 1987",Closed,Hole,,,Packer,"Nov 30, 2002",,,"Jun 30, 1953"
 0006068,Abandoned,Strathcona Resources Ltd. (A8FG),0002,05-23-036-20W4,"Jan 01, 1987","Jan 01, 1987",Closed,Hole,,,Packer,"Nov 30, 2002",,,"Mar 15, 1953"
 0022151,Abandoned,HWN Energy Ltd. (A8T8),0061,10-17-037-03W5,"Jan 01, 1987","Jan 01, 1987",Closed,Hole,,,Cement Squeeze/Plug,"Jun 21, 1986",,,"May 12, 1962"
 0013716,Abandoned,Canadian Oil & Gas International Inc. (A6L2),0TM9,11-11-039-27W4,"Jan 01, 1987","Jan 01, 1987",Closed,Hole,,,Well/Zone Abandoned,"Jun 06, 1979",,,"Nov 05, 1957"
 0034415,Abandoned,Cabot Energy Inc. (A5HR),0T00,02-06-110-04W6,"Jan 01, 1987","Jan 01, 1987",Closed,Hole,,,Cement Squeeze/Plug,"Nov 30, 2002",,,"Nov 25, 2002"
 0050698,Abandoned,Paramount Resources Ltd. (0AW4),0HM7,04-16-118-08W6,"Jan 01, 1987","Jan 01, 1987",Closed,Hole,,,Cement Squeeze/Plug,"Nov 30, 2002",,,"Nov 30, 2003"
 0103052,Abandoned,Canadian Natural Resources Limited (0HE9),0026,06-03-056-06W4,"Jan 01, 1987","Jan 01, 1987",Closed,Hole,,,Entry Error-Ignore,"Dec 06, 2010",,,"Oct 17, 1983"
 0007047,Abandoned,Strathcona Resources Ltd. (A8FG),0002,16-15-036-20W4,"Jan 01, 1987","Jan 01, 1987",Closed,Hole,,,Packer,"Nov 30, 2002",,,"Oct 19, 1953"
 0008803,Abandoned,Advantage Energy Ltd. (0TD9),0YJ8,13-07-047-27W4,"Jan 01, 1987","Jan 01, 1987",Closed,Hole,,,Cemented Liner,"Nov 30, 2002",,,"Sep 05, 1979"
 0016676,Abandoned,Canadian Natural Resources Limited (0HE9),0006,10-03-067-10W5,"Jan 01, 1987","Jan 01, 1987",Closed,Hole,,,Not Converted,"Nov 30, 2002",,,"Sep 11, 1959"
 0028462,Abandoned,Razor Energy Corp. (A7L1),0BP8,10-26-067-09W5,"Jan 01, 1987","Jan 01, 1987",Closed,Not Converted,,,Replaced Failed Casing,"Nov 30, 2002",,,"Aug 18, 1965"
 0035559,Abandoned,Cenovus Energy Inc. (A5D4),0ZK1,12-35-108-09W6,"Jan 01, 1987","Jan 01, 1987",Closed,Parted,,,Replaced Failed Casing,"Nov 30, 2002",,,"Jan 31, 1969"
 0025536,Abandoned,Rocky River Resources Ltd. (0EH9),0EH9,12-28-035-10W4,"Jan 01, 1987","Jan 01, 1987",Closed,Collapse,887,,Cemented Liner,"Nov 30, 2002",,,"Jan 26, 1964"
 0029860,Abandoned,Ricochet Oil Corp. (A8K9),0BP8,14-33-047-07W5,"Jan 01, 1987","Jan 01, 1987",Closed,Burst,1112,,Cement Squeeze/Plug,"Nov 30, 2002",,,"Feb 08, 1966"
 0017713,Abandoned,I3 Energy Canada Ltd. (A8HW),0002,06-13-040-03W5,"Jan 01, 1987","Jan 01, 1987",Closed,Hole,1229,,Packer,"Nov 30, 2002",,,"Nov 23, 1959"
 0096518,Abandoned,Strathcona Resources Ltd. (A8FG),0002,05-25-035-20W4,"Jan 01, 1987","Jan 01, 1987",Closed,Hole,1234,,Packer,"Nov 30, 2002",,,"Aug 12, 1982"
 0016201,Abandoned,InPlay Oil Corp. (A6JK),0G30,08-08-047-09W5,"Jan 01, 1987","Jan 01, 1987",Closed,Hole,1293,,Packer,"Nov 30, 2002",,,"Nov 22, 1958"
 0020630,Abandoned,I3 Energy Canada Ltd. (A8HW),0054,02-17-063-25W5,"Jan 01, 1987","Jan 01, 1987",Closed,Hole,2609,,Well Suspended,"Nov 30, 2002",,,"Jul 12, 1961"
 0007054,Abandoned,I3 Energy Canada Ltd. (A8HW),0002,01-36-045-01W5,"Jan 01, 1987","Jan 01, 1987",Closed,Hole,500,501,Entry Error-Ignore,"Jul 15, 2013",,,"Dec 02, 1953"
 0011722,Abandoned,Bonterra Energy Corp. (0XZ4),0XZ4,16-13-047-07W5,"Jan 01, 1988","Jan 01, 1988",Closed,Hole,,,Cement Squeeze/Plug,"Nov 30, 2002",,,"Aug 18, 1956"
 0011793,Abandoned,Bonterra Energy Corp. (0XZ4),0NP5,06-01-047-08W5,"Jan 01, 1988","Jan 01, 1988",Closed,Hole,,,Cement Squeeze/Plug,"Oct 07, 1988",,,"Aug 22, 1956"
 0011773,Abandoned,Bonterra Energy Corp. (0XZ4),0XZ4,08-01-047-08W5,"Jan 01, 1988","Jan 01, 1988",Closed,Hole,,,Monitor As Required,,,,"Jul 31, 1956"
 0003373,Abandoned,Canadian Natural Resources Limited (0HE9),0007,07-35-024-13W4,"Jan 01, 1988","Jan 01, 1988",Closed,Hole,,,Casing Patch,"Sep 24, 1986",,,"Sep 26, 1951"
 0026780,Abandoned,Cardinal Energy Ltd. (A6A7),0045,12-31-071-04W5,"Jan 01, 1988","Jan 01, 1988",Closed,Hole,171,,Casing Patch,"Nov 30, 2002",,,"Oct 23, 1964"
 0032583,Abandoned,CNOOC Petroleum North America ULC (A6LC),0226,11-03-025-28W4,"Jan 01, 1988","Jan 01, 1988",Closed,Hole,1197,,Cement Squeeze/Plug,"Jun 22, 1987",,,"Sep 14, 1967"
 0005114,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,13-14-044-22W4,"Jan 01, 1988","Jan 01, 1988",Closed,Hole,1545,,Not Converted,"Nov 30, 2002",,,"Sep 10, 1952"
 0015391,Abandoned,Canadian Oil & Gas International Inc. (A6L2),0TM9,02-31-038-26W4,"Jan 01, 1988","Jan 01, 1988",Closed,Collapse,2186,,Packer,"Aug 22, 1987",,,"Jul 20, 1958"
 0036801,Abandoned,TAQA North Ltd. (A2TG),0246,11-17-035-08W5,"Jan 01, 1989","Mar 04, 2004",Closed,,,,Entry Error-Ignore,"Mar 02, 1999",,,"Jan 17, 1970"
 0021698,Abandoned,Conifer Energy Inc. (A8CW),0RA3,02-32-063-11W5,"Jan 01, 1989","Jan 01, 1989",Closed,Hole,,,Replaced Failed Casing,"Jan 14, 1989",,,"Dec 19, 1961"
 0013493,Abandoned,Canadian Oil & Gas International Inc. (A6L2),0TM9,09-06-039-26W4,"Jan 01, 1989","Jan 01, 1989",Closed,Hole,,,Packer,"Nov 30, 2002",,,"Jul 17, 1957"
